tid,hoyde
0.0,5.0
0.01,4.999019
0.02,4.997057
0.03,4.994114
0.04,4.99019
0.05,4.985285
0.060000000000000005,4.979399
0.07,4.972532
0.08,4.964684
0.09,4.955855
0.09999999999999999,4.946045
0.10999999999999999,4.935254
0.11999999999999998,4.923482
0.12999999999999998,4.910729
0.13999999999999999,4.8969949999999995
0.15,4.88228
0.16,4.866584
0.17,4.849907
0.18000000000000002,4.832249
0.19000000000000003,4.81361
0.20000000000000004,4.79399
0.21000000000000005,4.773389
0.22000000000000006,4.7518069999999994
0.23000000000000007,4.729244
0.24000000000000007,4.705699999999999
0.25000000000000006,4.681175
0.26000000000000006,4.655669
0.2700000000000001,4.629181999999999
0.2800000000000001,4.601713999999999
0.2900000000000001,4.573264999999999
0.3000000000000001,4.543835
0.3100000000000001,4.513424
0.3200000000000001,4.482031999999999
0.3300000000000001,4.449659
0.34000000000000014,4.4163049999999995
0.35000000000000014,4.381969999999999
0.36000000000000015,4.346653999999999
0.37000000000000016,4.310356999999999
0.38000000000000017,4.273078999999999
0.3900000000000002,4.234819999999999
0.4000000000000002,4.195579999999999
0.4100000000000002,4.155358999999999
0.4200000000000002,4.114156999999999
0.4300000000000002,4.071973999999999
0.4400000000000002,4.028809999999999
0.45000000000000023,3.9846649999999992
0.46000000000000024,3.939538999999999
0.47000000000000025,3.893431999999999
0.48000000000000026,3.846343999999999
0.49000000000000027,3.798274999999999
0.5000000000000002,3.749224999999999
0.5100000000000002,3.699193999999999
0.5200000000000002,3.648181999999999
0.5300000000000002,3.596188999999999
0.5400000000000003,3.543214999999999
0.5500000000000003,3.4892599999999994
0.5600000000000003,3.4343239999999993
0.5700000000000003,3.3784069999999993
0.5800000000000003,3.3215089999999994
0.5900000000000003,3.2636299999999996
0.6000000000000003,3.2047699999999995
0.6100000000000003,3.1449289999999994
0.6200000000000003,3.0841069999999995
0.6300000000000003,3.0223039999999997
0.6400000000000003,2.95952
0.6500000000000004,2.895755
0.6600000000000004,2.831009
0.6700000000000004,2.765282
0.6800000000000004,2.6985740000000003
0.6900000000000004,2.630885
0.7000000000000004,2.562215
0.7100000000000004,2.4925640000000002
0.7200000000000004,2.4219320000000004
0.7300000000000004,2.3503190000000007
0.7400000000000004,2.2777250000000007
0.7500000000000004,2.2041500000000007
0.7600000000000005,2.129594000000001
0.7700000000000005,2.054057000000001
0.7800000000000005,1.9775390000000013
0.7900000000000005,1.9000400000000015
0.8000000000000005,1.8215600000000016
0.8100000000000005,1.7420990000000018
0.8200000000000005,1.661657000000002
0.8300000000000005,1.5802340000000021
0.8400000000000005,1.4978300000000022
0.8500000000000005,1.4144450000000024
0.8600000000000005,1.3300790000000025
0.8700000000000006,1.2447320000000026
0.8800000000000006,1.1584040000000027
0.8900000000000006,1.0710950000000028
0.9000000000000006,0.9828050000000028
0.9100000000000006,0.8935340000000029
0.9200000000000006,0.803282000000003
0.9300000000000006,0.7120490000000032
0.9400000000000006,0.6198350000000032
0.9500000000000006,0.5266400000000033
0.9600000000000006,0.4324640000000034
0.9700000000000006,0.33730700000000347
0.9800000000000006,0.24116900000000352
0.9900000000000007,0.14405000000000356
1.0000000000000007,0.0459500000000036
1.0100000000000007,-0.053130999999996376
1.0200000000000007,0.026133800000003607
1.0300000000000007,0.1044176000000036
1.0400000000000007,0.18172040000000358
1.0500000000000007,0.25804220000000355
1.0600000000000007,0.33338300000000354
1.0700000000000007,0.4077428000000035
1.0800000000000007,0.48112160000000354
1.0900000000000007,0.5535194000000035
1.1000000000000008,0.6249362000000036
1.1100000000000008,0.6953720000000037
1.1200000000000008,0.7648268000000037
1.1300000000000008,0.8333006000000037
1.1400000000000008,0.9007934000000037
1.1500000000000008,0.9673052000000038
1.1600000000000008,1.0328360000000039
1.1700000000000008,1.0973858000000039
1.1800000000000008,1.160954600000004
1.1900000000000008,1.223542400000004
1.2000000000000008,1.285149200000004
1.2100000000000009,1.345775000000004
1.2200000000000009,1.405419800000004
1.2300000000000009,1.4640836000000041
1.2400000000000009,1.5217664000000042
1.2500000000000009,1.5784682000000043
1.260000000000001,1.6341890000000043
1.270000000000001,1.6889288000000044
1.280000000000001,1.7426876000000044
1.290000000000001,1.7954654000000045
1.300000000000001,1.8472622000000047
1.310000000000001,1.8980780000000048
1.320000000000001,1.947912800000005
1.330000000000001,1.996766600000005
1.340000000000001,2.044639400000005
1.350000000000001,2.0915312000000053
1.360000000000001,2.1374420000000054
1.370000000000001,2.1823718000000056
1.380000000000001,2.2263206000000055
1.390000000000001,2.2692884000000055
1.400000000000001,2.3112752000000056
1.410000000000001,2.352281000000006
1.420000000000001,2.392305800000006
1.430000000000001,2.431349600000006
1.440000000000001,2.469412400000006
1.450000000000001,2.5064942000000063
1.460000000000001,2.5425950000000066
1.470000000000001,2.5777148000000065
1.480000000000001,2.6118536000000065
1.490000000000001,2.6450114000000067
1.500000000000001,2.677188200000007
1.5100000000000011,2.7083840000000072
1.5200000000000011,2.738598800000007
1.5300000000000011,2.7678326000000073
1.5400000000000011,2.7960854000000075
1.5500000000000012,2.823357200000008
1.5600000000000012,2.8496480000000077
1.5700000000000012,2.874957800000008
1.5800000000000012,2.899286600000008
1.5900000000000012,2.922634400000008
1.6000000000000012,2.945001200000008
1.6100000000000012,2.966387000000008
1.6200000000000012,2.986791800000008
1.6300000000000012,3.0062156000000084
1.6400000000000012,3.0246584000000087
1.6500000000000012,3.0421202000000087
1.6600000000000013,3.058601000000009
1.6700000000000013,3.074100800000009
1.6800000000000013,3.0886196000000092
1.6900000000000013,3.102157400000009
